小区名称,地址,建筑年份,楼栋,单元,户室,朝向,面积
阳光小区,深圳市南山区粤海街道,2015,6,3,2104,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,2201,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,2202,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,2203,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,2204,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,2301,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,2302,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,2303,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,2304,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,2401,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,2402,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,2403,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,2404,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,4,301,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,302,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,401,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,402,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,501,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,502,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,601,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,602,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,701,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,702,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,801,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,802,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,901,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,902,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1001,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1002,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1101,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1102,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1201,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1202,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1301,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1302,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1401,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1402,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1501,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1502,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1601,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1602,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1701,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1702,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1801,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1802,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1901,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,1902,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,2001,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,2002,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,2101,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,2102,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,2201,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,2202,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,2301,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,2302,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,2401,东西,100
阳光小区,深圳市南山区粤海街道,2015,6,4,2402,东西,100
